date,country,municipality,confirmed,deaths,recovered,active,pcr,lat,long,population,km_sq,population_mne,km_sq_mne
2020-04-05,Montenegro,Bar,19,0,NA,NA,181,42.099998,19.1,42048,598,631219,13812
2020-04-05,Montenegro,Andrijevica,7,0,NA,NA,181,42.73389,19.79194,5071,283,631219,13812
2020-04-05,Montenegro,Herceg Novi,6,1,NA,NA,181,42.45295,18.531203,30864,235,631219,13812
2020-04-05,Montenegro,Budva,4,0,NA,NA,181,42.28639,18.84,19218,122,631219,13812
2020-04-05,Montenegro,Ulcinj,9,0,NA,NA,181,41.92936,19.22436,19921,255,631219,13812
2020-04-05,Montenegro,Danilovgrad,3,0,NA,NA,181,42.55384,19.14608,18472,501,631219,13812
2020-04-05,Montenegro,Tivat,2,0,NA,NA,181,42.43639,18.69611,14031,46,631219,13812
2020-04-05,Montenegro,Bijelo Polje,6,0,NA,NA,181,43.03834,19.74758,46051,924,631219,13812
2020-04-05,Montenegro,Nikšić,20,0,NA,NA,181,42.7731,18.94446,72443,2065,631219,13812
2020-04-06,Montenegro,Tuzi,34,0,NA,NA,194,42.365556,19.331389,12096,236,631219,13812
2020-04-06,Montenegro,Podgorica,115,1,NA,NA,194,42.441286,19.262892,185937,1399,631219,13812
2020-04-06,Montenegro,Bar,19,0,NA,NA,194,42.099998,19.1,42048,598,631219,13812
2020-04-06,Montenegro,Andrijevica,7,0,NA,NA,194,42.73389,19.79194,5071,283,631219,13812
2020-04-06,Montenegro,Herceg Novi,6,1,NA,NA,194,42.45295,18.531203,30864,235,631219,13812
2020-04-06,Montenegro,Budva,4,0,NA,NA,194,42.28639,18.84,19218,122,631219,13812
2020-04-06,Montenegro,Ulcinj,9,0,NA,NA,194,41.92936,19.22436,19921,255,631219,13812
2020-04-06,Montenegro,Danilovgrad,3,0,NA,NA,194,42.55384,19.14608,18472,501,631219,13812
2020-04-06,Montenegro,Tivat,2,0,NA,NA,194,42.43639,18.69611,14031,46,631219,13812
2020-04-06,Montenegro,Bijelo Polje,6,0,NA,NA,194,43.03834,19.74758,46051,924,631219,13812
2020-04-06,Montenegro,Nikšić,28,0,NA,NA,194,42.7731,18.94446,72443,2065,631219,13812
2020-04-07,Montenegro,Tuzi,34,0,NA,NA,183,42.365556,19.331389,12096,236,631219,13812
2020-04-07,Montenegro,Podgorica,118,1,NA,NA,183,42.441286,19.262892,185937,1399,631219,13812
2020-04-07,Montenegro,Bar,20,0,NA,NA,183,42.099998,19.1,42048,598,631219,13812
2020-04-07,Montenegro,Andrijevica,7,0,NA,NA,183,42.73389,19.79194,5071,283,631219,13812
2020-04-07,Montenegro,Herceg Novi,6,1,NA,NA,183,42.45295,18.531203,30864,235,631219,13812
2020-04-07,Montenegro,Budva,4,0,NA,NA,183,42.28639,18.84,19218,122,631219,13812
2020-04-07,Montenegro,Ulcinj,9,0,NA,NA,183,41.92936,19.22436,19921,255,631219,13812
2020-04-07,Montenegro,Danilovgrad,3,0,NA,NA,183,42.55384,19.14608,18472,501,631219,13812
2020-04-07,Montenegro,Tivat,2,0,NA,NA,183,42.43639,18.69611,14031,46,631219,13812
2020-04-07,Montenegro,Bijelo Polje,6,0,NA,NA,183,43.03834,19.74758,46051,924,631219,13812
2020-04-07,Montenegro,Nikšić,30,0,NA,NA,183,42.7731,18.94446,72443,2065,631219,13812
2020-04-08,Montenegro,Tuzi,36,0,NA,NA,315,42.365556,19.331389,12096,236,631219,13812
2020-04-08,Montenegro,Podgorica,123,1,NA,NA,315,42.441286,19.262892,185937,1399,631219,13812
2020-04-08,Montenegro,Bar,21,0,NA,NA,315,42.099998,19.1,42048,598,631219,13812
2020-04-08,Montenegro,Andrijevica,7,0,NA,NA,315,42.73389,19.79194,5071,283,631219,13812
2020-04-08,Montenegro,Herceg Novi,6,1,NA,NA,315,42.45295,18.531203,30864,235,631219,13812
2020-04-08,Montenegro,Budva,4,0,NA,NA,315,42.28639,18.84,19218,122,631219,13812
2020-04-08,Montenegro,Ulcinj,9,0,NA,NA,315,41.92936,19.22436,19921,255,631219,13812
2020-04-08,Montenegro,Danilovgrad,3,0,NA,NA,315,42.55384,19.14608,18472,501,631219,13812
2020-04-08,Montenegro,Tivat,2,0,NA,NA,315,42.43639,18.69611,14031,46,631219,13812
2020-04-08,Montenegro,Bijelo Polje,6,0,NA,NA,315,43.03834,19.74758,46051,924,631219,13812
2020-04-08,Montenegro,Nikšić,31,0,NA,NA,315,42.7731,18.94446,72443,2065,631219,13812
2020-04-09,Montenegro,Tuzi,36,0,NA,NA,167,42.365556,19.331389,12096,236,631219,13812
2020-04-09,Montenegro,Podgorica,127,1,NA,NA,167,42.441286,19.262892,185937,1399,631219,13812
2020-04-09,Montenegro,Bar,21,0,NA,NA,167,42.099998,19.1,42048,598,631219,13812
2020-04-09,Montenegro,Andrijevica,7,0,NA,NA,167,42.73389,19.79194,5071,283,631219,13812
2020-04-09,Montenegro,Herceg Novi,6,1,NA,NA,167,42.45295,18.531203,30864,235,631219,13812
2020-04-09,Montenegro,Budva,4,0,NA,NA,167,42.28639,18.84,19218,122,631219,13812
2020-04-09,Montenegro,Ulcinj,9,0,NA,NA,167,41.92936,19.22436,19921,255,631219,13812
2020-04-09,Montenegro,Danilovgrad,3,0,NA,NA,167,42.55384,19.14608,18472,501,631219,13812
2020-04-09,Montenegro,Tivat,2,0,NA,NA,167,42.43639,18.69611,14031,46,631219,13812
2020-04-09,Montenegro,Bijelo Polje,6,0,NA,NA,167,43.03834,19.74758,46051,924,631219,13812
2020-04-09,Montenegro,Nikšić,31,0,NA,NA,167,42.7731,18.94446,72443,2065,631219,13812
2020-04-10,Montenegro,Tuzi,36,0,NA,NA,174,42.365556,19.331389,12096,236,631219,13812
2020-04-10,Montenegro,Podgorica,132,1,NA,NA,174,42.441286,19.262892,185937,1399,631219,13812
